Time,10 uL/s,20 uL/s,50 uL/s,65 uL/s,80 uL/s
31.8,0.068181818,0.153484849,0.437272727,0.59030303,0.730909091
32,0.068181818,0.153409091,0.437272727,0.59030303,0.730909091
32.2,0.068181818,0.153409091,0.437272727,0.59030303,0.730909091
32.4,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
32.6,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
32.8,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
33,0.068181818,0.153409091,0.437424242,0.590454546,0.730909091
33.2,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.4,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.6,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.8,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
34,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.2,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.4,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.6,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.8,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.2,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.4,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.6,0.068333333,0.153409091,0.437424242,0.590454546,0.730909091
35.8,0.068333333,0.153409091,0.437424242,0.590606061,0.730909091
36,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.2,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.4,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.6,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.8,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
37,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.2,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.4,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.6,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
37.8,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
38,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
38.2,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.4,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.6,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.8,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.2,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.4,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.6,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.8,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.2,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.4,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.6,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.8,0.068333333,0.153598485,0.437121212,0.59030303,0.730757576
41,0.068787879,0.153598485,0.437121212,0.59030303,0.730757576
41.2,0.069090909,0.153598485,0.437121212,0.59030303,0.730757576
41.4,0.069090909,0.153787879,0.437121212,0.59030303,0.730757576
41.6,0.069090909,0.153977273,0.437121212,0.59030303,0.730757576
